UID          PID    PPID  C STIME TTY          TIME CMD
root        3313       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet1.pid /dev/vmnet1 vmnet1
root        3352       2  0 12m23 ?      00:00:00 [kworker/30:1H]
root        3368       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet1/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet1/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet1.pid vmnet1
root        3386       2  0 12m23 ?      00:00:00 [kworker/5:1H]
root        3392       2  0 12m23 ?      00:00:00 [kworker/9:1H]
root        3403       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-natd -s 6 -m /etc/vmware/vmnet8/nat.mac -c /etc/vmware/vmnet8/nat/nat.conf
root        3411       1  0 12m23 ?      00:00:18 /usr/sbin/nmbd -D
root        3474       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-netifup -s 6 -d /var/run/vmnet-netifup-vmnet8.pid /dev/vmnet8 vmnet8
root        3553       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-dhcpd -s 6 -cf /etc/vmware/vmnet8/dhcpd/dhcpd.conf -lf /etc/vmware/vmnet8/dhcpd/dhcpd.leases -pf /var/run/vmnet-dhcpd-vmnet8.pid vmnet8
root        3699       1  0 12m23 ?      00:00:06 /usr/sbin/vmware-authdlauncher
root        3705       1  0 12m23 ?      00:00:01 /usr/sbin/smbd -D
root        3706    3705  0 12m23 ?      00:00:03 /usr/sbin/smbd -D
root        3712    3705  0 12m23 ?      00:00:01 /usr/sbin/smbd -D
root        3863       2  0 12m23 ?      00:00:00 [kworker/16:1H]
root        3864       2  0 12m23 ?      00:00:00 [kworker/6:1H]
root        3867       1  0 12m23 ?      00:34:02 /usr/lib/vmware/bin/vmware-hostd -a /etc/vmware/hostd/config.xml
root        3913    2886  0 12m23 ?      00:00:00 lightdm --session-child 12 19
rtkit       3999       1  0 12m23 ?      00:00:02 /usr/lib/rtkit/rtkit-daemon
root        4096       1  0 12m23 ?      00:00:00 /usr/lib/upower/upowerd
root        4111       2  0 12m23 ?      00:00:00 [kworker/11:1H]
root        4122       2  0 12m23 ?      00:00:00 [kworker/8:1H]
colord      4133       1  0 12m23 ?      00:00:00 /usr/lib/colord/colord
libvirt+    4487       1  0 12m23 ?      00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        4488    4487  0 12m23 ?      00:00:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        4581       2  0 12m23 ?      00:00:00 [nfsiod]
root        4590       2  0 12m23 ?      00:00:00 [kworker/29:1H]
root        4613       2  0 12m23 ?      00:00:00 [kworker/10:1H]
do          4940       1  0 12m23 ?      00:00:00 /lib/systemd/systemd --user
do          5012    4940  0 12m23 ?      00:00:00 (sd-pam)
